Brand,Model,Company,Price in India,id,1 stars,2 stars,4 stars,3 stars,5 stars,link,total_ratings,RAM,Size,SSD,Colours,Operating system,Hard disk,Model Number,Processor,Graphics Processor,Dedicated Graphics,Finger Print Sensor,Resolution,Wi-Fi standards supported,Weight (kg),Dimensions (mm),Bluetooth version,Number of USB Ports,Series,Internal Mic,Touch Screen,Base Clock Speed,Graphics Processor,Product Name,Touchpad,Battery Cell,Pointer Device,USB Ports,Cache,Mic In,Speakers,Multi Card Slot,RJ45 (LAN),Dedicated Graphics,HDMI Port,Ethernet,Battery Life (up to hours),Dedicated Graphic Memory Type,Expandable RAM up to (GB),other_info
Reach,Quanto RCN-025,reach,"₹ 14,999",925,100,0,0,0,0,https://gadgets.ndtv.com/reach-quanto-rcn-025-5116,2,4GB,14.00-inch,No,Black,DOS,500GB,RCN-025,Intel Celeron Dual Core 5th Gen N3050,Intel Integrated HD Graphics,No,,1366x768 pixels,802.11 b/g/n,1.5,341.20 x 235.00 x 21.60,4,2,Quanto,Yes,No,1.6 GHz,Intel Integrated HD Graphics,"Reach RCN-025 Laptop (DOS, 4GB RAM, 500GB HDD, Intel Celeron, Black, 14 inch)",,2,Touchpad,2 x USB 3.0,2MB,Yes,Yes,1 Micro SD Card Reader,Yes,No,Standard,,3,,,"{'Web Camera': 'Yes', 'Headphone and Mic Combo Jack': 'Yes', 'Backlit Keyboard': 'No', 'Launched': '7th October 2019', 'Model Name': 'Chromebook 4', 'Battery Capacity (mAh)': '5070', 'eMMC': '64GB'}"
Acer,Aspire 5 A517-51-82HA,acer,"₹ 103,390",926,0,0,0,0,0,https://gadgets.ndtv.com/acer-aspire-5-a517-51-82ha-7717#gallery,,8GB,17.30-inch,No,Black,Windows 10 Home,1TB,A517-51-82HA,Intel Core i7 8th Gen 8250U,Nvidia GeForce MX150,,No,1366x768 pixels,802.11 a/b/g/n/ac,2.2,381.60 x 263.00 x 20.95,4,4,Aspire 5,Yes,No,1.6 GHz,Nvidia GeForce MX150,"Acer Aspire 5 A517-51-82HA Laptop (8GB RAM, 1000GB HDD, Intel Core i7, Black, 17.3 inch)",Yes,4,Touchpad,"2 x USB 2.0, 1 x USB 3.0",6MB,Yes,Stereo Speakers,SD Card Reader,Yes,,,Gigabit Ethernet,7,GDDR5,16GB,
Toshiba,Satellite C50D-BM0010,toshiba,"₹ 21,500",927,67,0,0,0,33,https://gadgets.ndtv.com/toshiba-satellite-c50d-bm0010-7408,3,2GB,15.60-inch,No,Black,DOS,500GB,C50D-BM0010,AMD APU Dual Core E1,Intel Integrated HD Graphics,No,No,,802.11 b/g/n,2.2,380.00 x 259.90 x 26.60,4,3,Satellite,Yes,No,,Intel Integrated HD Graphics,"Toshiba Satellite C50D-BM0010 Laptop (DOS, 2GB RAM, 500GB HDD, AMD Black)",Yes,4,Touchpad,"2 x USB 2.0, 1 x USB 3.0",1MB,Yes,Stereo Speakers,,Yes,No,Standard,10/100,,,8GB,
Acer,Predator Triton PT715-51-732Q,acer,"₹ 248,981",928,0,0,0,0,0,https://gadgets.ndtv.com/acer-predator-triton-pt715-51-732q-6674,,32GB,15.60-inch,32GB,"Red, Black",Windows 10,No,Triton PT715-51-732Q,Intel Core i7 7th Gen 7700HQ,Nvidia GeForce GTX 1080,,No,1920x1080 pixels,802.11 a/b/g/n/ac,2.6,393.00 x 266.00 x 18.90,4.1,5,Predator,Yes,No,2.8 GHz,Nvidia GeForce GTX 1080,"Acer Predator Triton PT715-51-732Q Laptop (Windows 10, 32GB RAM, 32GB HDD, Intel Core i7, Red & Black, 15.6 inch)",Yes,3,Touchpad,"1 x USB 2.0, 3 x USB 3.0",6MB,Yes,Yes,,Yes,,,Gigabit Ethernet,5,GDDR5,32GB,
Acer,Nitro 5 AN515-52-76VR,acer,"₹ 72,990",929,14,3,19,12,51,https://gadgets.ndtv.com/acer-nitro-5-an515-52-76vr-8237#gallery,129,8GB,15.60-inch,No,Black,Windows 10 Home,16GB,5 AN515-52-76VR,Intel Core i5 7300HQ,Nvidia GeForce GTX 1050,,No,1920x1080 pixels,802.11 a/b/g/n/ac,2.7,390.00 x 266.00 x 26.75,4,4,Nitro,Yes,No,2.5 GHz,Nvidia GeForce GTX 1050,"Acer Nitro 5 AN515-52-76VR Laptop (Windows 10 Home, 8GB RAM, 16GB HDD, Intel Core i7, Black, 15.6 inch)",Yes,4,Touchpad,"2 x USB 2.0, 1 x USB 3.0",6MB,Yes,Stereo Speakers,,Yes,,,Gigabit Ethernet,,GDDR5,32GB,
Dell,G7 17,dell,,930,0,0,0,0,0,https://gadgets.ndtv.com/dell-g7-17-price-in-india-95085,,8GB,17.00-inch,128GB,Mineral Black,Windows 10,,7700,Intel Core i5 10th Gen i5-10300H,,Yes,,1920x1080 pixels,802.11 ac,2.9,290.00 x 398.20 x 19.30,4.1,4,G7,Yes,,,,,Yes,,Touchpad,,8M,,2 Speakers,2 in 1 Card Reader,Yes,Yes,Yes,1x1 Gigabit Ethernet,,GDDR6,32GB,
Acer,Spin SP111-31-P6AP,acer,"₹ 29,990",931,33,0,0,0,67,https://gadgets.ndtv.com/acer-spin-sp111-31-p6ap-6205,3,4GB,11.60-inch,No,Turquoise Blue,Windows 10,500GB,SP111-31-P6AP,Intel Pentium Dual Core N4200,Intel Integrated HD Graphics 505,No,No,1920x1080 pixels,802.11 a/b/g/n/ac,1.5,298.00 x 210.00 x 20.30,4,3,Spin,Yes,Yes,1.1 GHz,Intel Integrated HD Graphics 505,"Acer Spin SP111-31-P6AP Laptop (Windows 10, 4GB RAM, 500GB HDD, Intel Pentium, Turquoise Blue, 11.6 inch)",Yes,4,Touchpad,"2 x USB 2.0, 1 x USB 3.0",2MB,Yes,Stereo Speakers,SDXC Card Reader,,No,,,9,,8GB,
Apple,MacBook Pro MPTT2HN/A,apple,"₹ 217,280",932,0,0,0,0,0,https://gadgets.ndtv.com/apple-macbook-pro-mptt2hn-a-5322,,16GB,15.40-inch,512GB,Space Grey,macOS,No,MPTT2HN/A,Intel Core i7 7th Gen,Intel Integrated HD Graphics,No,No,2800x1800 pixels,802.11 ac,1.83,349.30 x 240.70 x 15.50,4.2,4,MacBook Pro,Yes,No,2.9 GHz,Intel Integrated HD Graphics,"Apple Macbook Pro MPTT2HN/A Laptop (Mac, 16GB RAM, 512GB HDD, Intel Core i7, Space Grey, 15.4 inch)",Yes,,Touchpad,"4 x USB 3.0, 4 x Thunderbolt 3 (Type C)",8MB,Yes,Stereo Speakers,,,No,,,10,GDDR5,,{'Battery Capacity (WHR)': '31'}
HP,1AS36PA,hp,"₹ 24,500",933,0,0,0,0,100,https://gadgets.ndtv.com/hp-1as36pa-6133,,4GB,14.00-inch,No,Black,DOS,500GB,1AS36PA,Intel Pentium Dual Core 3825U,Intel HD Graphics 520,No,No,1366x768 pixels,802.11 b/g/n,1.79,345.40 x 241.50 x 23.90,4,3,G Series,Yes,No,2 GHz,Intel HD Graphics 520,"HP 1AS36PA Laptop (4GB RAM, 500GB HDD, Intel Pentium, Black, 14 inch)",Yes,4,Touchpad,"2 x USB 2.0, 1 x USB 3.0",2MB,Yes,2 Speakers,3 in 1 card Reader,,No,Standard,10/100/1000 Base T,9,,,
Acer,Nitro 5 AN515,acer,"₹ 92,207",934,8,0,11,3,77,https://gadgets.ndtv.com/acer-nitro-5-an515-8779#gallery,71,8GB,15.60-inch,No,Black,Windows 10,1TB,5 AN515,Intel Core i5 7300HQ,Nvidia GeForce GTX 1050,,No,1920x1080 pixels,802.11 a/b/g/n/ac,2.7,390.00 x 266.00 x 26.75,4,4,Nitro,Yes,No,2.5 GHz,Nvidia GeForce GTX 1050,"Acer Nitro 5 AN515 Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i5, Black, 15.6 inch)",Yes,4,Touchpad,"2 x USB 2.0, 1 x USB 3.0",6MB,Yes,Stereo Speakers,,Yes,,,Gigabit Ethernet,,GDDR5,32GB,"{'Launched': '12th November 2020', 'Console Type': 'Home Console', 'Console Family': 'Sony PlayStation 5', 'Hard Disk': '825GB PCIe Gen 4 NVMe SSD', 'Graphics': 'Custom AMD RDNA 2 GPU 36 CUs @ 2.23GHz'}"
Acer,Aspire E E5-576-31WW,acer,,935,0,0,0,0,100,https://gadgets.ndtv.com/acer-aspire-e-e5-576-31ww-6777,,4GB,15.60-inch,No,Black,DOS,1TB,E5-576-31WW,Intel Core i3 6th Gen 6006U,Intel Integrated HD Graphics 520,No,No,1366x768 pixels,802.11 a/b/g/n/ac,2.23,381.60 x 259.00 x 23.90,4,3,Aspire E,Yes,No,2 GHz,Intel Integrated HD Graphics 520,,Yes,4,Touchpad,"2 x USB 2.0, 1 x USB 3.0",3MB,Yes,Stereo Speakers,SD Card Reader,Yes,No,,Gigabit Ethernet,10,,16GB,
Acer,Aspire A515-51G-56K9,acer,"₹ 46,899",936,40,0,20,40,0,https://gadgets.ndtv.com/acer-aspire-a515-51g-56k9-6071#gallery,5,8GB,15.60-inch,No,Black,DOS,1TB,A515-51G-56K9,Intel Core i5 8250U,Nvidia GeForce MX150,,No,1366x768 pixels,802.11 a/b/g/n/ac,2.2,381.60 x 263.00 x 20.95,4,3,Aspire,Yes,No,1.6 GHz,Nvidia GeForce MX150,"Acer Aspire A515-51G-56K9 Laptop (DOS, 8GB RAM, 1000GB HDD, Intel Core i5, Black, 15.6 inch)",Yes,4,Touchpad,"1 x USB 2.0, 1 x USB 3.0",6MB,Yes,Stereo Speakers,,Yes,,,Gigabit Ethernet,7,GDDR5,16GB,
Asus,ROG GL503VD-FY242T,asus,"₹ 71,150",937,0,0,0,25,75,https://gadgets.ndtv.com/asus-rog-gl503vd-fy242t-7655#gallery,4,8GB,15.60-inch,No,Black,Windows 10,No,GL503VD-FY242T,Intel Core i5 7th Gen 7300HQ,Nvidia GeForce GTX 1050,,No,1920x1080 pixels,802.11 ac,2.5,384.00 x 262.00 x 23.00,4.1,5,ROG,Yes,No,2.5 GHz,Nvidia GeForce GTX 1050,"Asus Rog GL503VD-FY242T Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i5, Black, 15.6 inch)",Yes,4,Touchpad,"1 x USB 2.0, 3 x USB 3.0",6MB,Yes,Yes,,Yes,,,10/100/1000 Base T,,GDDR5,32GB,{'Battery Capacity (WHR)': '31'}
MSI,GE62 Apache Pro Skylake,msi,"₹ 133,500",938,0,0,0,0,0,https://gadgets.ndtv.com/msi-ge62-apache-pro-skylake-5302,,8GB,15.60-inch,No,Black,Windows 10,1TB,GE62 Apache Pro Skylake,Intel Core i7 6th Gen 6700HQ,Nvidia GeForce GTX 970M,Yes,,1920x1080 pixels,802.11 b/g/n/ac,2.3,383.00 x 260.00 x 27.00,4,4,GE Series,,No,2.6 GHz,Nvidia GeForce GTX 970M,"MSI Apache Pro GE62 Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i7, Black)",,6,,"1 x USB 2.0, 3 x USB 3.0",,Yes,,,Yes,Yes,Standard,Killer GB LAN,3,GDDR5,32GB,
HP,Pavilion X360 11-K107TU,hp,"₹ 31,200",939,20,30,10,20,20,https://gadgets.ndtv.com/hp-pavilion-x360-11-k107tu-6376,10,4GB,11.60-inch,No,Natural Silver,Windows 10,500GB,X360 11-K107TU,Intel Pentium Dual Core 4th Gen N3700,Intel Integrated HD Graphics,No,No,,802.11 b/g/n,1.46,306.00 x 208.00 x 22.50,4,3,Pavilion,Yes,Yes,1.6 GHz,Intel Integrated HD Graphics,"HP Pavilion X360 11-K107TU Laptop (Windows 10, 4GB RAM, 500GB HDD, Intel Pentium, Natural Silver)",Yes,2,Touchpad,"1 x USB 2.0, 2 x USB 3.0",2MB,Yes,Yes,,Yes,No,Standard,10/100 Base T,,,8GB,"{'RAM Slots': '1', 'Headphone and Mic Combo Jack': 'Yes'}"
HP,Pavilion 15-AB028TX,hp,"₹ 44,815",940,29,0,43,0,29,https://gadgets.ndtv.com/hp-pavilion-15-ab028tx-6382,7,4GB,15.60-inch,No,White,Windows 8.1,No,15-AB028TX,Intel Core i3 5th Gen 5010U,AMD Radeon R7 M360,,No,,802.11 b/g/n,2.29,384.56 x 261.11 x 25.15,4,3,Pavilion,Yes,No,2.1 GHz,AMD Radeon R7 M360,"HP Pavilion 15-AB028TX Laptop (Windows 8.1, 4GB RAM, 1000GB HDD, Intel Core i3, White, 15.6 inch)",Yes,4,Touchpad,"1 x USB 2.0, 2 x USB 3.0",3MB,Yes,Yes,,Yes,,Standard,10/100,,DDR3,16GB,
Acer,Nitro 5 AN515-51-53W5,acer,"₹ 115,770",941,6,6,12,21,55,https://gadgets.ndtv.com/acer-nitro-5-an515-51-53w5-7229#gallery,33,16GB,15.60-inch,No,Black,Windows 10,256GB,5 AN515-51-53W5,Intel Core i5 7300HQ,Nvidia GeForce GTX 1050,,No,1920x1080 pixels,802.11 a/b/g/n/ac,2.7,390.00 x 266.00 x 26.75,4,4,Nitro,Yes,No,2.5 GHz,Nvidia GeForce GTX 1050,"Acer Nitro 5 AN515-51-53W5 Laptop (Windows 10, 16GB RAM, 256GB HDD, Intel Core i5, Black, 15.6 inch)",Yes,4,Touchpad,"2 x USB 2.0, 1 x USB 3.0",6MB,Yes,Stereo Speakers,,Yes,,,Gigabit Ethernet,,GDDR5,32GB,"{'VGA Port': 'Yes', 'Optical Disk Drive': 'CD/DVD Writer', 'Read/Write Speed': '8x'}"
Asus,A542B-GQ067T,asus,"₹ 23,900",942,0,50,50,0,0,https://gadgets.ndtv.com/asus-a542b-gq067t-6140#gallery,2,4GB,15.60-inch,No,Dark Grey,Windows 10,1TB,A542B-GQ067T,AMD APU Dual Core A9 9420,AMD Radeon R5,,No,1366x768 pixels,802.11 b/g/n,2.3,380.00 x 251.00 x 23.20,4,4,,Yes,No,3 GHz,AMD Radeon R5,"Asus A542B-GQ067T Laptop (Windows 10, 4GB RAM, 1000GB HDD, AMD Dark Grey, 15.6 inch)",Yes,2,Touchpad,"1 x USB 2.0, 2 x USB 3.0",1MB,Yes,Yes,SD Card Reader,Yes,,,10/100/1000 Base T,,,16GB,"{'RAM Slots': '1', 'VGA Port': 'Yes', 'Headphone and Mic Combo Jack': 'Yes', 'Battery Capacity (WHR)': '36', 'Optical Disk Drive': 'Super Multi DVD'}"
Acer,Aspire E E-15-E5-553,acer,"₹ 30,990",943,17,33,0,17,33,https://gadgets.ndtv.com/acer-aspire-e-e-15-e5-553-6101#gallery,6,4GB,15.60-inch,No,Black,Windows 10 Home,No,E-15-E5-553,AMD APU Quad Core A10 9600P,AMD Radeon R5,,No,1366x768 pixels,802.11 a/b/g/n/ac,2.23,381.60 x 259.00 x 30.20,4.1,4,Aspire E,Yes,No,2.3 GHz,AMD Radeon R5,"Acer Aspire E E-15-E5-553 Laptop (Windows 10, 4GB RAM, 1000GB HDD, AMD Black, 15.6 inch)",Yes,4,Touchpad,"1 x USB 2.0, 2 x USB 3.0",2MB,Yes,Stereo Speakers,SD Card Reader,Yes,,,,6,,32GB,"{'Web Camera': 'Yes', 'Battery Capacity (WHR)': '67', 'Backlit Keyboard': 'Yes', 'Launched': '1st September 2020', 'Model Name': 'ZenBook S'}"
Acer,Spin 5 SP513-51,acer,"₹ 45,990",944,17,0,25,0,58,https://gadgets.ndtv.com/acer-spin-5-sp513-51-7402#gallery,12,4GB,13.30-inch,256GB,Black,Windows 10 Home,No,5 SP513-51,Intel Core i3 7th Gen 7100U,Intel Integrated HD Graphics 520,No,No,1920x1080 pixels,802.11 a/b/g/n/ac,1.6,328.80 x 228.50 x 19.70,4.1,3,Spin,Yes,Yes,2.4 GHz,Intel Integrated HD Graphics 520,"Acer Spin 5 SP513-51 Laptop (Windows 10, 4GB RAM, 256GB HDD, Intel Core i3, Black, 13.3 inch)",Yes,4,Touchpad,"2 x USB 2.0, 1 x USB 3.0",3MB,Yes,Stereo Speakers,SD Card Reader,,No,,,10,,16GB,
Asus,A541UJ-DM463,asus,"₹ 34,500",945,0,0,0,0,0,https://gadgets.ndtv.com/asus-a541uj-dm463-6698,,4GB,15.60-inch,No,Black,DOS,1TB,A541UJ-DM463,Intel Core i3 6th Gen 6006U,Nvidia GeForce 920M,,No,1920x1080 pixels,802.11 b/g/n,2,381.00 x 252.00 x 27.60,4,4,,Yes,No,2 GHz,Nvidia GeForce 920M,"Asus A541UJ-DM463 Laptop (DOS, 4GB RAM, 1000GB HDD, Intel Core i3, Black, 15.6 inch)",Yes,,Touchpad,"2 x USB 2.0, 1 x USB 3.0",3MB,,2 Speakers,SDXC Card Reader,Yes,,,10/100,4.5,DDR3,12GB,
Acer,Aspire ES ES1-521-899k,acer,"₹ 24,943",946,0,11,22,0,67,https://gadgets.ndtv.com/acer-aspire-es-es1-521-899k-5129,18,6GB,15.60-inch,No,Diamond Black,Linux,1TB,ES1-521-899k,AMD APU Quad Core A8 6th Gen A8 6410,AMD Shared graphics memory,,,1366x768 pixels,802.11 b/g/n,2.4,381.60 x 258.00 x 27.20,,3,Aspire ES,Yes,No,2 GHz,AMD Shared graphics memory,"Acer Aspire E ES-ES1-521-899K Laptop (Linux, 6GB RAM, 1000GB HDD, AMD Black, 15.6 inch)",,3,Touchpad,"2 x USB 2.0, 1 x USB 3.0",,,2 Speakers,SD Card Reader,Yes,,Yes,Gigabit Ethernet,,DDR3L,16GB,"{'RAM Slots': '1', 'Web Camera': 'Yes', 'VGA Port': 'Yes', 'Optical Disk Drive': 'Super Multi DVD', 'Read/Write Speed': '8x', 'Dedicated Graphic Memory': '2GB'}"
Asus,A555LA-XX2565T,asus,"₹ 27,990",947,0,0,0,0,0,https://gadgets.ndtv.com/asus-a555la-xx2565t-7598,,4GB,15.60-inch,No,Yellow,Windows 10,1TB,A555LA-XX2565T,Intel Core i3 4005U,Intel Integrated HD Graphics 4400,No,No,1366x768 pixels,802.11 b/g/n,2.3,382.00 x 256.00 x 25.80,4,3,,Yes,No,1.7 GHz,Intel Integrated HD Graphics 4400,"Asus A555LA-XX2565T Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i3, Yellow, 15.6 inch)",Yes,2,Touchpad,"1 x USB 2.0, 2 x USB 3.0",3MB,Yes,Yes,SD Card Reader,Yes,No,Standard,10/100/1000 Base T,,,,
Asus,VivoBook A9 X542BA-GQ024T,asus,"₹ 21,990",948,20,10,30,10,30,https://gadgets.ndtv.com/asus-vivobook-a9-vivobook-a9-x542ba-gq024t-6406,10,4GB,15.60-inch,No,Grey,Windows 10 Home,500GB,A9 VIVOBOOK-A9-X542BA-GQ024T,AMD APU Dual Core A9 9420,AMD Radeon R5,,No,1366x768 pixels,802.11 b/g/n,2.3,380.00 x 251.00 x 23.20,4,4,VivoBook,Yes,No,3 GHz,AMD Radeon R5,"Asus Vivobook A9 VIVOBOOK-A9-X542BA-GQ024T Laptop (Windows 10, 4GB RAM, 500GB HDD, AMD Grey, 15.6 inch)",Yes,2,Touchpad,"1 x USB 2.0, 2 x USB 3.0",1MB,Yes,,SD Card Reader,Yes,,,10/100/1000 Base T,,,16GB,
HP,Imprint 15-BS541TU,hp,"₹ 29,297",949,30,5,20,5,40,https://gadgets.ndtv.com/hp-imprint-15-bs541tu-6825,20,4GB,15.60-inch,No,Sparkling Black,Windows 10 Home,No,15-BS541TU,Intel Core i3 6th Gen 6006U,Intel Integrated HD Graphics 520,No,No,1366x768 pixels,802.11 b/g/n,2.1,379.90 x 253.70 x 23.80,4,3,Imprint,Yes,No,2 GHz,Intel Integrated HD Graphics 520,"HP 15-BS541TU Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i3, Sparkling Black, 15.6 inch)",Yes,4,Touchpad,"1 x USB 2.0, 2 x USB 3.0",3MB,Yes,,,Yes,No,,Gigabit Ethernet,,,16GB,
Acer,Swift 3 SF314-53G,acer,"₹ 59,990",950,3,0,27,10,60,https://gadgets.ndtv.com/acer-swift-3-sf314-53g-6608#gallery,30,8GB,14.00-inch,256GB,Red,Windows 10,No,3 SF314-53G,Intel Core i5 8th Gen 8250U,Intel Integrated HD Graphics 620,No,No,1366x768 pixels,802.11 a/b/g/n/ac,1.5,341.00 x 236.60 x 17.95,4,3,Swift,Yes,No,2.7 GHz,Intel Integrated HD Graphics 620,"Acer Swift 3 SF314-53G Laptop (Windows 10, 8GB RAM, 256GB HDD, Intel Core i5, Red, 14.0 Inch)",Yes,4,Touchpad,"1 x USB 2.0, 1 x USB 3.0",4MB,Yes,Yes,SD Card Reader,,No,,,12,,,"{'RAM Slots': '1', 'Web Camera': '0.3-megapixel', 'Headphone and Mic Combo Jack': 'Yes', 'Optical Disk Drive': 'CD/DVD Writer', 'Read/Write Speed': '8x', 'RJ11': 'Yes', 'Dedicated Graphic Memory': '2GB'}"
Acer,Aspire 12-SA5-271,acer,"₹ 41,990",951,0,13,13,0,75,https://gadgets.ndtv.com/acer-aspire-12-sa5-271-7166#gallery,8,4GB,12.00-inch,256GB,Silver,Windows 10 Home,No,12-SA5-271,Intel Core i5 6th Gen 6200U,Intel Integrated HD Graphics 520,No,No,2160x1440 pixels,802.11 a/b/g/n/ac,1.25,292.10 x 201.40 x 15.85,4,3,Aspire,Yes,Yes,2.3 GHz,Intel Integrated HD Graphics 520,"Acer Aspire Switch Alpha 12-SA5-271 Laptop (Windows 10, 4GB RAM, 256GB HDD, Intel Core i5, Silver, 12 inch)",Yes,2,Touchpad,1 x USB 2.0,3MB,Yes,Stereo Speakers,SDXC Card Reader,,No,,,8,,,"{'Headphone and Mic Combo Jack': 'Yes', 'Battery Capacity (WHR)': '42', 'Burst Clock Speed': '4 GHz'}"
Asus,ROG Strix GL503VD-GZ240T,asus,"₹ 92,990",952,0,0,33,0,67,https://gadgets.ndtv.com/asus-rog-strix-gl503vd-gz240t-6252,3,16GB,15.60-inch,128GB,Black,Windows 10 Home,No,GL503VD-GZ240T,Intel Core i7 7th Gen 7700HQ,Nvidia GeForce GTX 1050,,No,1920x1080 pixels,802.11 ac,2.5,384.00 x 262.00 x 30.00,4.1,5,ROG Strix,Yes,No,2.8 GHz,Nvidia GeForce GTX 1050,"Asus Rog Strix GL503VD-GZ240T Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i7, Mayan Patterns, 15.6 inch)",Yes,4,Touchpad,"1 x USB 2.0, 3 x USB 3.0",6MB,Yes,,,Yes,,,10/100/1000 Base T,,GDDR5,32GB,"{'VGA Port': 'Yes', 'RJ11': 'Yes'}"
HP,Envy x360 M6 X360 15T-W200,hp,,953,0,0,0,0,0,https://gadgets.ndtv.com/hp-envy-x360-m6-x360-15t-w200-7364,,8GB,15.60-inch,No,Silver,Windows 10,1TB,M6 X360 15T-W200,Intel Core i5 6th Gen 6200U,Nvidia GeForce 930M,,No,1920x1080 pixels,802.11 b/g/n,2.19,384.30 x 254.50 x 24.38,4,2,Envy x360,Yes,Yes,2.3 GHz,Nvidia GeForce 930M,,Yes,3,Touchpad,"2 x USB 2.0, 2 x USB 3.0",3MB,Yes,2 Speakers,,Yes,,Standard,10/100 Base T,5,DDR3,8GB,"{'RAM Slots': '2', 'VGA Port': 'Yes'}"
Asus,FX503VD-DM112T,asus,"₹ 57,990",954,0,0,38,0,63,https://gadgets.ndtv.com/asus-fx503vd-dm112t-6152#gallery,8,8GB,15.60-inch,128GB,Black,Windows 10 Home,No,FX503VD-DM112T,Intel Core i7 7th Gen 7700HQ,Nvidia GeForce GTX 1050,,No,1920x1080 pixels,802.11 ac,2.5,384.00 x 262.00 x 25.00,4.1,3,,Yes,No,2.8 GHz,Nvidia GeForce GTX 1050,"Asus FX503VD-DM112T Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i7, Black, 15.6 inch)",Yes,4,Touchpad,"3 x USB 3.0, 3 x USB 3.0 (Type A)",6MB,Yes,,SD Card Reader,Yes,,,10/100/1000 Base T,,GDDR5,32GB,
Acer,Spin 5 SP515-51GN-807G,acer,"₹ 131,659",955,0,0,17,17,67,https://gadgets.ndtv.com/acer-spin-5-sp515-51gn-807g-6909#gallery,6,8GB,15.60-inch,No,Black,Windows 10,1TB,5 SP515-51GN-807G,Intel Core i7 8th Gen 8550u,Nvidia GeForce GTX 1050,,No,1920x1080 pixels,,2.2,258.00 x 38.20 x 45.72,,3,Spin,Yes,No,1.8 GHz,Nvidia GeForce GTX 1050,"Acer Spin 5 SP515-51GN-807G Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i7, Black, 15.6 inch)",Yes,,Touchpad,,,Yes,Yes,Yes,Yes,,Standard,,10,,,{'RAM Slots': '2'}
HP,Pavilion X360 11-AB005TU,hp,"₹ 30,290",956,29,4,20,2,45,https://gadgets.ndtv.com/hp-pavilion-x360-11-ab005tu-5856,51,4GB,11.60-inch,No,Jack Black,Windows 10 Home,500GB,X360 11-AB005TU,Intel Pentium Dual Core N3710,Intel Integrated HD Graphics 405,No,No,1366x768 pixels,802.11 ac,1.41,306.07 x 208.03 x 19.30,4.2,3,Pavilion,Yes,Yes,1.6 GHz,Intel Integrated HD Graphics 405,"HP Pavilion X360 11-AB005TU Laptop (Windows 10, 4GB RAM, 500GB HDD, Intel Pentium, Black, 11.6 inch)",Yes,3,Touchpad,"1 x USB 2.0, 2 x USB 3.0",2MB,Yes,Yes,,,No,,,5,,8GB,
Asus,VivoBook Max F541NA-GO019T,asus,"₹ 20,250",957,100,0,0,0,0,https://gadgets.ndtv.com/asus-vivobook-max-f541na-go019t-8243,,4GB,15.60-inch,No,Silver,Windows 10,500GB,Max F541NA-GO019T,Intel Celeron Dual Core N4200,Intel Integrated HD Graphics 505,No,No,1366x768 pixels,802.11 b/g/n,2,381.00 x 252.00 x 27.60,4,3,VivoBook,Yes,No,1.1 GHz,Intel Integrated HD Graphics 505,"Asus Vivobook Max F541NA-GO019T Laptop (Windows 10, 4GB RAM, 500GB HDD, Intel Celeron, Silver, 15.6 inch)",Yes,3,Touchpad,"1 x USB 2.0, 1 x USB 3.0",2MB,Yes,Yes,SDXC Card Reader,Yes,No,,10/100,,,,
Dell,Inspiron 7537/7537565002ST,dell,,958,0,0,0,0,0,https://gadgets.ndtv.com/dell-inspiron-7537-7537565002st-4868,,6GB,15.60-inch,No,Silver,Windows 8 Professional,500GB,7537/7537565002ST,Intel Core i5 4th Gen 4200U,Nvidia GeForce 750M,Yes,,1366x768 pixels,802.11 ac,2.6,379.40 x 254.80 x 20.50,4,4,Inspiron,,Yes,1.6 GHz,Nvidia GeForce 750M,,,4,Touchpad,4 x USB 3.0,3MB,Yes,Yes,Yes,Yes,Yes,Standard,10/100/1000 Base T,,DDR3,8GB,"{'RAM Slots': '1', 'VGA Port': 'Yes', 'Optical Disk Drive': 'Super Multi DVD', 'Read/Write Speed': 'Touchpad'}"
Asus,X540LA,asus,,959,0,0,0,0,0,https://gadgets.ndtv.com/asus-x540la-7299,,4GB,15.60-inch,No,Red,Windows 10,1TB,X540LA,Intel Core i3 5005U,Intel Integrated HD Graphics 5500,No,No,1366x768 pixels,802.11 b/g/n,1.9,,4,3,,Yes,No,2 GHz,Intel Integrated HD Graphics 5500,,Yes,3,Touchpad,"1 x USB 2.0, 1 x USB 3.0",3MB,Yes,Yes,SD Card Reader,Yes,No,,10/100,5,,8GB,"{'RAM Slots': '2', 'VGA Port': 'Yes'}"
